id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LCP2	3	3.4166e-11	2.6194e-07	0.000354	1	3	-3.2168	1.0	1.0	1.0	18899	0	-3.2168
CD3G	3	7.003e-11	2.6194e-07	0.000354	2	3	-3.9536	1.0	1.0	1.0	18898	0	-3.9536
ZAP70	3	1.6866e-10	2.6194e-07	0.000354	3	3	-4.6762	1.0	1.0	1.0	18897	0	-4.6762
SRP68	3	2.0287e-10	2.6194e-07	0.000354	4	3	-2.8989	1.0	1.0	1.0	18896	0	-2.8989
SRP19	3	6.1561e-10	2.6194e-07	0.000354	5	3	-2.5359	1.0	1.0	1.0	18895	0	-2.5359
VAV1	3	7.8083e-10	2.6194e-07	0.000354	6	3	-3.8833	1.0	1.0	1.0	18894	0	-3.8833
CD247	3	8.263e-10	2.6194e-07	0.000354	7	3	-2.8484	1.0	1.0	1.0	18893	0	-2.8484
LCK	3	6.1578e-09	2.6194e-07	0.000354	8	3	-1.328	1.0	1.0	1.0	18892	0	-1.328
CD28	3	1.4028e-08	2.6194e-07	0.000354	9	3	-2.1604	1.0	1.0	1.0	18891	0	-2.1604
PCYT2	3	2.7698e-08	2.6194e-07	0.000354	10	3	-1.7505	1.0	1.0	1.0	18890	0	-1.7505
IFNG	3	4.891e-08	2.6194e-07	0.000354	11	3	-2.3182	1.0	1.0	1.0	18889	0	-2.3182
CD2	3	1.0799e-07	2.6194e-07	0.000354	12	3	-2.5652	1.0	1.0	1.0	18888	0	-2.5652
CD3E	3	1.1283e-07	2.6194e-07	0.000354	13	3	-2.6246	1.0	1.0	1.0	18887	0	-2.6246
TAF2	3	1.7765e-07	2.6194e-07	0.000354	14	3	-1.2648	1.0	1.0	1.0	18886	0	-1.2648
MAP3K7	3	2.0929e-07	7.8583e-07	0.000743	15	3	-1.5423	1.0	1.0	1.0	18885	0	-1.5423
GRAP2	3	3.0435e-07	7.8583e-07	0.000743	16	3	-1.1614	1.0	1.0	1.0	18884	0	-1.1614
LAT	3	3.4148e-07	7.8583e-07	0.000743	17	3	-2.0044	1.0	1.0	1.0	18883	0	-2.0044
TAF6L	3	3.5714e-07	7.8583e-07	0.000743	18	3	-1.1934	1.0	1.0	1.0	18882	0	-1.1934
VPS35	3	3.5979e-07	7.8583e-07	0.000743	19	3	-1.2135	1.0	1.0	1.0	18881	0	-1.2135
CD3D	3	3.8777e-07	7.8583e-07	0.000743	20	2	-3.8248	0.81943	0.8194	1.0	15267	0	-3.8248
DHX29	3	4.3052e-07	1.3097e-06	0.001179	21	3	-0.88116	1.0	1.0	1.0	18880	0	-0.88116
TRAF6	3	5.949e-07	1.8336e-06	0.001575	22	3	-1.9511	1.0	1.0	1.0	18879	0	-1.9511
SEC61A1	3	7.6532e-07	2.3575e-06	0.001937	23	3	-1.5185	1.0	1.0	1.0	18878	0	-1.5185
SCRIB	3	9.7067e-07	2.8814e-06	0.002269	24	3	-0.96055	1.0	1.0	1.0	18877	0	-0.96055
SRP72	3	1.8076e-06	6.0247e-06	0.004554	25	3	-1.0019	1.0	1.0	1.0	18876	0	-1.0019
AQP3	3	2.3269e-06	8.1203e-06	0.005684	26	3	-0.78279	1.0	1.0	1.0	18875	0	-0.78279
ELOF1	3	2.3641e-06	8.1203e-06	0.005684	27	3	-0.60571	1.0	1.0	1.0	18874	0	-0.60571
VPS29	3	5.0555e-06	1.7026e-05	0.011492	28	3	-1.9659	0.99999	1.0	1.0	18873	0	-1.9659
ATP6V1C1	3	5.6176e-06	1.9122e-05	0.012462	29	3	-1.5703	0.99999	0.99999	1.0	18872	0	-1.5703
TNFRSF1A	3	7.1626e-06	2.4361e-05	0.015347	30	3	-1.2663	0.99999	0.99999	1.0	18871	0	-1.2663
ITK	3	8.5849e-06	2.96e-05	0.018045	31	2	-1.9115	0.95875	0.95902	1.0	17955	0	-1.9115
TBX21	3	1.2296e-05	4.4793e-05	0.025953	32	2	-1.5717	0.84691	0.84694	1.0	15783	0	-1.5717
DEF6	3	1.2724e-05	4.5316e-05	0.025953	33	3	-0.90079	0.99999	0.99999	1.0	18870	0	-0.90079
JAK1	3	1.3709e-05	4.7936e-05	0.026645	34	3	-1.2706	0.99999	0.99999	1.0	18869	0	-1.2706
PLCG1	3	1.4981e-05	5.1079e-05	0.027581	35	3	-2.7621	0.99939	0.9994	1.0	18829	0	-2.7621
CUL1	3	1.6468e-05	5.527e-05	0.029015	36	3	-1.2106	0.99998	0.99998	1.0	18868	0	-1.2106
MTCL1	3	2.1958e-05	7.0987e-05	0.034907	37	3	-0.86648	0.99998	0.99998	1.0	18867	0	-0.86648
MAPK3	3	2.2248e-05	7.1511e-05	0.034907	38	3	-1.075	0.99998	0.99998	1.0	18866	0	-1.075
SPCS2	3	2.2564e-05	7.2035e-05	0.034907	39	2	-2.0831	0.9156	0.91567	1.0	17093	0	-2.0831
SEL1L	3	2.3436e-05	7.675e-05	0.035378	40	3	-0.96867	0.99686	0.99691	1.0	18746	0	-0.96867
SPTLC2	3	2.3455e-05	7.675e-05	0.035378	41	3	-1.5979	0.99998	0.99998	1.0	18865	0	-1.5979
EXOC4	3	2.4862e-05	8.1465e-05	0.036657	42	3	-0.66923	0.99998	0.99998	1.0	18864	0	-0.66923
SLC38A6	3	2.8648e-05	9.3514e-05	0.041101	43	3	-0.58339	0.99997	0.99998	1.0	18863	0	-0.58339
MOB4	3	4.355e-05	0.00014014	0.060194	44	3	-1.1295	0.99955	0.99954	1.0	18837	0	-1.1295
WAS	3	5.785e-05	0.00017996	0.075578	45	3	-1.5269	0.99994	0.99995	1.0	18862	0	-1.5269
BCL10	3	6.5783e-05	0.0002072	0.083849	46	3	-1.3546	0.99993	0.99993	1.0	18861	0	-1.3546
SRPRB	3	6.8316e-05	0.00021191	0.083849	47	3	-1.0731	0.99313	0.99327	1.0	18659	0	-1.0731
GSTA2	3	6.8817e-05	0.00021296	0.083849	48	2	-1.0969	0.57168	0.58377	1.0	10837	1	-1.0969
TNFRSF1B	3	7.2379e-05	0.00022396	0.086381	49	2	-1.1555	0.96194	0.96215	1.0	18021	0	-1.1555
RAC2	3	7.3933e-05	0.00023025	0.08703	50	3	-1.0502	0.9999	0.9999	1.0	18857	0	-1.0502
CASD1	3	7.8927e-05	0.00024335	0.089585	51	2	-0.41018	0.052489	0.1104	0.994801	2088	1	-0.41018
SH2D1A	3	8.0856e-05	0.00024649	0.089585	52	3	-0.93823	0.99854	0.99857	1.0	18798	0	-0.93823
HNRNPL	3	8.4973e-05	0.00025487	0.090851	53	3	-0.90876	0.99992	0.99991	1.0	18860	0	-0.90876
TAF11	3	8.6508e-05	0.00025959	0.090851	54	3	-0.89555	0.99991	0.99991	1.0	18859	0	-0.89555
TAGAP	3	9.55e-05	0.00028683	0.09856	55	3	-0.85851	0.9999	0.9999	1.0	18858	0	-0.85851
PTPRC	3	0.00011228	0.00034708	0.117132	56	3	-2.1992	0.99981	0.99981	1.0	18849	0	-2.1992
JUN	3	0.00012077	0.00037327	0.119554	57	2	-0.84859	0.94353	0.94374	1.0	17647	0	-0.84859
