id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD3G	3	1.6449e-11	2.6194e-07	0.00055	1	3	-2.8464	1.0	1.0	1.0	18899	0	-2.8464
IL2	3	3.4162e-11	2.6194e-07	0.00055	2	3	-1.9078	1.0	1.0	1.0	18898	0	-1.9078
LCP2	3	6.5647e-11	2.6194e-07	0.00055	3	3	-1.7628	1.0	1.0	1.0	18897	0	-1.7628
VAV1	3	3.5842e-10	2.6194e-07	0.00055	4	3	-2.068	1.0	1.0	1.0	18896	0	-2.068
ZAP70	3	2.3221e-09	2.6194e-07	0.00055	5	3	-2.522	1.0	1.0	1.0	18895	0	-2.522
WAS	3	1.3722e-08	2.6194e-07	0.00055	6	3	-1.6142	1.0	1.0	1.0	18894	0	-1.6142
RAC2	3	3.3886e-08	2.6194e-07	0.00055	7	3	-1.4575	1.0	1.0	1.0	18893	0	-1.4575
CD3D	3	1.4418e-07	2.6194e-07	0.00055	8	2	-2.578	0.73277	0.73291	1.0	13564	0	-2.578
CD3E	3	1.5842e-07	2.6194e-07	0.00055	9	3	-1.8088	1.0	1.0	1.0	18892	0	-1.8088
ITK	3	8.0286e-07	2.3575e-06	0.004455	10	3	-1.562	0.99662	0.99669	1.0	18807	0	-1.562
CD2	3	1.0204e-06	3.4053e-06	0.005363	11	3	-1.485	1.0	1.0	1.0	18891	0	-1.485
IFNGR2	3	1.0353e-06	3.4053e-06	0.005363	12	3	-1.0218	1.0	1.0	1.0	18889	0	-1.0218
VPS35	3	1.5887e-06	5.5008e-06	0.007997	13	3	-0.91466	1.0	1.0	1.0	18890	0	-0.91466
TAF2	3	4.0125e-06	1.1788e-05	0.015912	14	3	-0.69354	1.0	1.0	1.0	18888	0	-0.69354
SCRIB	3	8.6526e-06	3.0124e-05	0.037954	15	3	-0.65448	0.99999	0.99999	1.0	18887	0	-0.65448
PLCG1	3	8.9437e-06	3.3267e-05	0.039295	16	3	-1.8836	0.99942	0.99943	1.0	18863	0	-1.8836
CXorf36	3	1.4284e-05	4.9508e-05	0.055038	17	2	-0.78207	0.091013	0.16092	1.0	2984	1	-0.78207
SLCO1C1	3	1.9773e-05	6.4176e-05	0.067382	18	3	-0.80888	0.98946	0.98958	1.0	18653	0	-0.80888
SRP68	3	2.7695e-05	8.7752e-05	0.087285	19	3	-1.2477	0.99997	0.99998	1.0	18886	0	-1.2477
MMP24	3	3.6645e-05	0.00011657	0.110149	20	3	-0.71625	0.99838	0.99842	1.0	18841	0	-0.71625
GRAP2	3	4.435e-05	0.00014066	0.126591	21	3	-1.0162	0.99992	0.99992	1.0	18884	0	-1.0162
DEF6	3	5.7971e-05	0.00017996	0.15459	22	3	-1.1276	0.99955	0.99954	1.0	18869	0	-1.1276
S100A8	3	6.1745e-05	0.00019462	0.159923	23	3	-0.5549	0.99994	0.99994	1.0	18885	0	-0.5549
CD247	3	7.6554e-05	0.00023758	0.18	24	3	-1.0849	0.99589	0.99598	1.0	18784	0	-1.0849
RAMP2	3	7.7085e-05	0.00023811	0.18	25	2	-0.64248	0.294	0.37859	1.0	6900	1	-0.64248
SKAP1	3	9.549e-05	0.00028683	0.208492	26	3	-0.56631	0.9999	0.9999	1.0	18883	0	-0.56631
PLEKHJ1	3	0.00011511	0.00035441	0.248075	27	3	-0.76287	0.99988	0.99988	1.0	18882	0	-0.76287
TRIM43B	3	0.00012076	0.00037327	0.251945	28	2	-0.51726	0.70158	0.70162	1.0	12966	0	-0.51726
TARDBP	3	0.00013406	0.0004089	0.258581	29	3	-0.55714	0.99987	0.99987	1.0	18881	0	-0.55714
MLLT3	3	0.00013547	0.00041047	0.258581	30	2	-0.66499	0.076494	0.14052	1.0	2628	1	-0.66499
FOXK1	3	0.00015099	0.00046443	0.283136	31	3	-0.44427	0.99985	0.99985	1.0	18880	0	-0.44427
SIN3B	3	0.00016332	0.00049691	0.293472	32	3	-0.58727	0.99984	0.99984	1.0	18879	0	-0.58727
DPM1	3	0.00018173	0.00054982	0.314881	33	3	-0.46898	0.99982	0.99982	1.0	18878	0	-0.46898
MOB4	3	0.00020663	0.00061531	0.341867	34	2	-0.69163	0.93984	0.94003	1.0	17641	0	-0.69163
DPP4	3	0.00021169	0.00063312	0.341867	35	3	-0.53947	0.99979	0.99978	1.0	18877	0	-0.53947
EXOC1	3	0.00022527	0.00067503	0.348542	36	3	-0.80129	0.99416	0.99427	1.0	18748	0	-0.80129
TSNAX	3	0.00022778	0.00068237	0.348542	37	3	-0.54663	0.99977	0.99976	1.0	18876	0	-0.54663
TRIM21	3	0.00025808	0.0007709	0.383403	38	3	-0.75998	0.99974	0.99973	1.0	18875	0	-0.75998
TAF4	3	0.00026989	0.00080705	0.391089	39	3	-0.93877	0.99675	0.99681	1.0	18808	0	-0.93877
TAGAP	3	0.00028635	0.00085525	0.399058	40	3	-0.72437	0.99971	0.99971	1.0	18874	0	-0.72437
NACAD	3	0.00029049	0.00086573	0.399058	41	3	-0.61787	0.99971	0.9997	1.0	18873	0	-0.61787
RPL41	3	0.00032364	0.00096422	0.433876	42	3	-0.54207	0.99968	0.99967	1.0	18872	0	-0.54207
DOCK2	3	0.00033873	0.001015	0.44612	43	3	-0.81614	0.98681	0.98696	1.0	18578	0	-0.81614
SH2D3A	3	0.00034726	0.0010418	0.447457	44	3	-0.46696	0.99965	0.99965	1.0	18871	0	-0.46696
FGFR1OP	3	0.00035843	0.0010711	0.449835	45	2	-0.73937	0.086463	0.1546	1.0	2865	1	-0.73937
SLC7A3	3	0.00037635	0.0011235	0.46158	46	2	-0.81841	0.73609	0.73626	1.0	13626	0	-0.81841
RYK	3	0.00039832	0.0011759	0.472825	47	3	-0.41057	0.9996	0.9996	1.0	18870	0	-0.41057
CASD1	3	0.00044718	0.0013309	0.516439	48	2	-0.23729	0.93918	0.93941	1.0	17627	0	-0.23729
DHFR2	3	0.00046812	0.001397	0.516439	49	3	-0.513	0.99953	0.99953	1.0	18868	0	-0.513
CYTIP	3	0.00048319	0.001431	0.516439	50	3	-0.48086	0.99952	0.99951	1.0	18867	0	-0.48086
NCF1	3	0.00048774	0.0014404	0.516439	51	3	-0.58727	0.99951	0.99951	1.0	18866	0	-0.58727
ATXN7L2	3	0.00048774	0.0014404	0.516439	52	3	-0.68647	0.99951	0.99951	1.0	18865	0	-0.68647
RHOG	3	0.00049027	0.0014483	0.516439	53	3	-0.56282	0.99783	0.99788	1.0	18827	0	-0.56282
EMP3	3	0.00051836	0.0015195	0.531812	54	3	-0.66952	0.99948	0.99948	1.0	18864	0	-0.66952
SLMAP	3	0.00059187	0.0017322	0.573838	55	3	-0.37778	0.99941	0.99942	1.0	18862	0	-0.37778
AQP3	3	0.00059755	0.0017464	0.573838	56	3	-0.61586	0.99515	0.99526	1.0	18767	0	-0.61586
PPP2CA	3	0.00060124	0.0017553	0.573838	57	2	-0.79555	0.013019	0.034351	0.855882	757	1	-0.79555
CD28	3	0.00060498	0.0017647	0.573838	58	3	-0.59728	0.99737	0.9974	1.0	18816	0	-0.59728
RPN2	3	0.00061236	0.0017914	0.573838	59	2	-0.60781	0.72363	0.72375	1.0	13383	0	-0.60781
CEP350	3	0.00065629	0.0019161	0.594924	60	3	-0.50063	0.99416	0.99427	1.0	18747	0	-0.50063
SEMA4B	3	0.00066257	0.0019329	0.594924	61	3	-0.43576	0.99934	0.99935	1.0	18861	0	-0.43576
CORO6	3	0.0006698	0.0019549	0.594924	62	3	-0.55391	0.99933	0.99934	1.0	18860	0	-0.55391
SLFN5	3	0.00068216	0.0019832	0.594924	63	3	-0.5284	0.99932	0.99932	1.0	18859	0	-0.5284
ARMCX2	3	0.00070067	0.0020298	0.599397	64	3	-0.83734	0.9993	0.99931	1.0	18858	0	-0.83734
BEX2	3	0.00072259	0.0020932	0.607964	65	2	-0.54622	0.93721	0.93742	1.0	17583	0	-0.54622
LHFPL2	3	0.0007387	0.002143	0.607964	66	3	-0.57047	0.99926	0.99927	1.0	18857	0	-0.57047
SHOC2	3	0.00074458	0.0021576	0.607964	67	3	-0.763	0.98922	0.98935	1.0	18640	0	-0.763
SLX4IP	3	0.00075559	0.0021875	0.607964	68	3	-0.39669	0.99924	0.99925	1.0	18856	0	-0.39669
KIDINS220	3	0.00079459	0.002297	0.629143	69	2	-1.0547	0.50907	0.5273	1.0	9621	1	-1.0547
AKAP14	3	0.00083412	0.002396	0.632357	70	3	-0.34845	0.99917	0.99917	1.0	18855	0	-0.34845
RORB	3	0.00083505	0.0023981	0.632357	71	3	-0.40742	0.99916	0.99917	1.0	18854	0	-0.40742
EREG	3	0.00083836	0.0024091	0.632357	72	2	-0.64245	0.78785	0.78795	1.0	14667	0	-0.64245
SRP72	3	0.00086794	0.002494	0.633973	73	2	-0.79921	0.8383	0.83829	1.0	15657	0	-0.79921
LAT	3	0.00090214	0.0025888	0.633973	74	2	-0.84363	0.96406	0.96427	1.0	18125	0	-0.84363
DDA1	3	0.00090665	0.002605	0.633973	75	2	-0.55322	0.8023	0.80223	1.0	14947	0	-0.55322
MCUB	3	0.000908	0.0026071	0.633973	76	3	-0.57402	0.99909	0.9991	1.0	18852	0	-0.57402
HIST2H2AA3	3	0.000908	0.0026071	0.633973	77	3	-0.37476	0.99909	0.9991	1.0	18853	0	-0.37476
NEDD4L	3	0.00093031	0.0026742	0.633973	78	2	-0.59629	0.90457	0.90465	1.0	16977	0	-0.59629
RBMXL1	3	0.00093031	0.0026742	0.633973	79	2	-0.59629	0.39061	0.44117	1.0	8022	1	-0.59629
ADCY5	3	0.00093306	0.0026836	0.633973	80	2	-0.69418	0.92538	0.92548	1.0	17369	0	-0.69418
